strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
rank_greedy,19,0.76,0,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.06130571837807335,0.06882035978576186
random,19,0.76,0,10,10,0.3751823997884524,0.3751823997884524,2.6653702320893866,2.6653702320893853,9.077388762230221e-15,0.10332317052415183,0.09711033759062584
tree_first,19,0.76,1,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.09030581470182653,0.08808810472665324
chord_first,19,0.76,1,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.06719882920956827,0.07468622449166903
rank_greedy,19,0.76,1,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.08389261258933575,0.08495691416733449
random,19,0.76,1,10,10,0.5871490083643566,0.5871490083643566,1.7031451739750678,1.7031451739750667,5.464113502652437e-15,0.06457833039536179,0.06750885779597039
tree_first,19,0.76,2,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.08570087255170585,0.07510826537898692
chord_first,19,0.76,2,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.07391708817057867,0.0793882010206028
rank_greedy,19,0.76,2,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.0690355409272131,0.06501742283822515
random,19,0.76,2,10,10,0.5074860263259741,0.5074860263259741,1.9704976060910682,1.9704976060910668,5.344660226352231e-15,0.1496705222663516,0.13821719412774058
tree_first,19,0.76,3,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.10173870233632114,0.09751551993976364
chord_first,19,0.76,3,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.08371328835645099,0.08388662872724528
rank_greedy,19,0.76,3,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.09091107681811247,0.08090772129199789
random,19,0.76,3,10,10,0.44481654714755325,0.44481654714755325,2.2481178058969182,2.248117805896917,5.99211958652363e-15,0.10085669851138518,0.09277074617585528
tree_first,19,0.76,4,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.08240769441038166,0.0925480958999939
chord_first,19,0.76,4,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.07243022456918156,0.07274513577075588
rank_greedy,19,0.76,4,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.05420583037774666,0.05484400918077491
random,19,0.76,4,10,10,0.5040146579530259,0.5040146579530259,1.9840692809636502,1.9840692809636498,5.785689516160167e-15,0.09161958678441381,0.08113229644082129
tree_first,19,0.76,5,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.08836314928208834,0.10003818668747798
chord_first,19,0.76,5,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.07623055352872829,0.07735351994969467
rank_greedy,19,0.76,5,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.05581542630708037,0.05930354843228852
random,19,0.76,5,10,10,0.5069362325252432,0.5069362325252432,1.972634694148055,1.9726346941480541,6.447423665283219e-15,0.07065866331879649,0.08146521211401397
tree_first,19,0.76,6,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.08537793840932317,0.1036702735837447
chord_first,19,0.76,6,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.06784775582245377,0.07687490981121685
rank_greedy,19,0.76,6,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.08770214665177975,0.07788051052398809
random,19,0.76,6,10,10,0.42733738551136374,0.42733738551136374,2.340071414073385,2.3400714140733845,8.062887228454831e-15,0.05096904704087404,0.040677430182213294
tree_first,19,0.76,7,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.09424826270559858,0.11341900981649598
chord_first,19,0.76,7,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.09951565576572516,0.10880491457155918
rank_greedy,19,0.76,7,10,10,0.6866890084572753,0.6866890084572753,1.456263297772326,1.4562632977723253,5.4734107712588435e-15,0.059135655713697895,0.05293170405844474
random,19,0.76,7,10,10,0.31829315837800976,0.31829315837800976,3.1417577590919676,3.1417577590919654,5.731375151869636e-15,0.06843480650520192,0.06683608806148407
tree_first,20,0.8,0,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.0710450088598953,0.06697967087195726
chord_first,20,0.8,0,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.0802315685219908,0.08372441749272772
rank_greedy,20,0.8,0,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.0776087154324576,0.07872252640984181
random,20,0.8,0,10,10,0.5158070862269514,0.5158070862269514,1.938709309549903,1.9387093095499026,6.217248937900877e-15,0.08682169628792666,0.08616826383655936
tree_first,20,0.8,1,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.07953025483958577,0.08616294717332741
chord_first,20,0.8,1,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.07775581086967644,0.07727534191124676
rank_greedy,20,0.8,1,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.055533655817953095,0.06248770984289221
random,20,0.8,1,10,10,0.6110396742122287,0.6110396742122287,1.6365549443073912,1.6365549443073906,5.208295122274211e-15,0.07520009824768277,0.08114226853151617
